Time, Date, Ch1, Ch2, NAE
3558093642,2016/9/30 15:20:42,418,488,0
3558093643,2016/9/30 15:20:43,408,499,0
3558093644,2016/9/30 15:20:44,374,473,0
3558093645,2016/9/30 15:20:45,331,492,0
3558093646,2016/9/30 15:20:46,347,489,0
3558093647,2016/9/30 15:20:47,324,374,0
3558093648,2016/9/30 15:20:48,320,403,0
3558093649,2016/9/30 15:20:49,433,498,0
3558093650,2016/9/30 15:20:50,361,508,0
3558093651,2016/9/30 15:20:51,338,394,0
3558093652,2016/9/30 15:20:52,342,435,0
3558093653,2016/9/30 15:20:53,417,498,0
3558093654,2016/9/30 15:20:54,387,459,0
3558093655,2016/9/30 15:20:55,420,478,0
3558093656,2016/9/30 15:20:56,401,477,0
3558093657,2016/9/30 15:20:57,379,512,0
3558093658,2016/9/30 15:20:58,419,480,0
3558093659,2016/9/30 15:20:59,415,487,0
3558093660,2016/9/30 15:21:0,362,436,0
3558093661,2016/9/30 15:21:1,389,532,0
3558093662,2016/9/30 15:21:2,400,465,0
3558093663,2016/9/30 15:21:3,303,344,0
3558093664,2016/9/30 15:21:4,392,523,0
3558093665,2016/9/30 15:21:5,409,529,0
3558093666,2016/9/30 15:21:6,329,435,0
3558093667,2016/9/30 15:21:7,400,479,0
3558093668,2016/9/30 15:21:8,435,492,0
3558093669,2016/9/30 15:21:9,432,502,0
3558093670,2016/9/30 15:21:10,402,482,0
3558093671,2016/9/30 15:21:11,283,450,0
3558093672,2016/9/30 15:21:12,402,460,0
3558093673,2016/9/30 15:21:13,310,439,0
3558093674,2016/9/30 15:21:14,356,508,0
3558093675,2016/9/30 15:21:15,409,462,0
3558093676,2016/9/30 15:21:16,311,479,0
3558093677,2016/9/30 15:21:17,312,489,0
3558093678,2016/9/30 15:21:18,367,415,0
3558093679,2016/9/30 15:21:19,292,469,0
3558093680,2016/9/30 15:21:20,340,492,0
3558093681,2016/9/30 15:21:21,318,455,0
3558093682,2016/9/30 15:21:22,329,552,0
3558093683,2016/9/30 15:21:23,431,492,0
3558093684,2016/9/30 15:21:24,393,527,0
3558093685,2016/9/30 15:21:25,365,508,0
3558093686,2016/9/30 15:21:26,397,482,0
3558093687,2016/9/30 15:21:27,428,487,0
3558093688,2016/9/30 15:21:28,415,486,0
3558093689,2016/9/30 15:21:29,323,501,0
3558093690,2016/9/30 15:21:30,387,445,0
3558093691,2016/9/30 15:21:31,379,444,0
3558093692,2016/9/30 15:21:32,393,492,0
3558093693,2016/9/30 15:21:33,417,477,0
3558093694,2016/9/30 15:21:34,351,461,0
3558093695,2016/9/30 15:21:35,400,539,0
3558093696,2016/9/30 15:21:36,395,464,0
3558093697,2016/9/30 15:21:37,361,495,0
3558093698,2016/9/30 15:21:38,427,502,0
3558093699,2016/9/30 15:21:39,413,464,0
3558093700,2016/9/30 15:21:40,388,482,0
3558093701,2016/9/30 15:21:41,396,464,0
3558093702,2016/9/30 15:21:42,404,529,0
3558093703,2016/9/30 15:21:43,411,347,0
3558093704,2016/9/30 15:21:44,422,537,0
3558093705,2016/9/30 15:21:45,376,518,0
3558093706,2016/9/30 15:21:46,337,445,0
3558093707,2016/9/30 15:21:47,316,496,0
3558093708,2016/9/30 15:21:48,406,473,0
3558093709,2016/9/30 15:21:49,324,496,0
3558093710,2016/9/30 15:21:50,400,504,0
3558093711,2016/9/30 15:21:51,380,471,0
3558093712,2016/9/30 15:21:52,411,563,0
3558093713,2016/9/30 15:21:53,365,431,0
3558093714,2016/9/30 15:21:54,319,402,0
3558093715,2016/9/30 15:21:55,421,542,0
3558093716,2016/9/30 15:21:56,419,503,0
3558093717,2016/9/30 15:21:57,377,452,0
3558093718,2016/9/30 15:21:58,351,556,0
3558093719,2016/9/30 15:21:59,374,526,0
3558093720,2016/9/30 15:22:0,436,506,0
3558093721,2016/9/30 15:22:1,398,513,0
3558093722,2016/9/30 15:22:2,444,514,0
3558093723,2016/9/30 15:22:3,401,494,0
3558093724,2016/9/30 15:22:4,377,443,0
3558093725,2016/9/30 15:22:5,382,455,0
3558093726,2016/9/30 15:22:6,350,504,0
3558093727,2016/9/30 15:22:7,414,504,0
3558093728,2016/9/30 15:22:8,348,487,0
3558093729,2016/9/30 15:22:9,366,458,0
3558093730,2016/9/30 15:22:10,432,500,0
3558093731,2016/9/30 15:22:11,398,460,0
3558093732,2016/9/30 15:22:12,318,437,0
3558093733,2016/9/30 15:22:13,347,417,0
3558093734,2016/9/30 15:22:14,415,508,0
3558093735,2016/9/30 15:22:15,322,507,0
3558093736,2016/9/30 15:22:16,432,510,0
