Time, Date, Ch1, Ch2, NAE
3556193800,2016/9/8 15:36:40,15,732,0
3556193801,2016/9/8 15:36:41,17,752,0
3556193802,2016/9/8 15:36:42,15,730,0
3556193821,2016/9/8 15:37:1,17,651,0
3556193822,2016/9/8 15:37:2,20,666,0
3556193823,2016/9/8 15:37:3,17,742,0
3556193824,2016/9/8 15:37:4,17,691,0
3556193825,2016/9/8 15:37:5,18,725,0
3556193826,2016/9/8 15:37:6,15,703,0
3556193827,2016/9/8 15:37:7,17,879,0
3556193828,2016/9/8 15:37:8,18,661,0
3556193829,2016/9/8 15:37:9,19,655,0
3556193830,2016/9/8 15:37:10,15,844,0
3556193831,2016/9/8 15:37:11,18,605,0
3556193832,2016/9/8 15:37:12,17,599,0
3556193833,2016/9/8 15:37:13,15,585,0
3556193834,2016/9/8 15:37:14,18,600,0
3556193835,2016/9/8 15:37:15,14,627,0
3556193836,2016/9/8 15:37:16,15,604,0
3556193837,2016/9/8 15:37:17,17,567,0
3556193838,2016/9/8 15:37:18,14,626,0
3556193839,2016/9/8 15:37:19,17,617,0
3556193840,2016/9/8 15:37:20,13,651,0
3556193841,2016/9/8 15:37:21,16,594,0
3556193842,2016/9/8 15:37:22,17,536,0
3556193843,2016/9/8 15:37:23,15,622,0
3556193844,2016/9/8 15:37:24,155,35,0
3556193862,2016/9/8 15:37:42,17,759,0
3556193863,2016/9/8 15:37:43,15,594,0
3556193864,2016/9/8 15:37:44,32,619,0
3556193865,2016/9/8 15:37:45,46,685,0
3556193866,2016/9/8 15:37:46,16,726,0
3556193867,2016/9/8 15:37:47,23,976,0
3556193868,2016/9/8 15:37:48,26,882,0
3556193869,2016/9/8 15:37:49,46,972,0
3556193870,2016/9/8 15:37:50,15,665,0
3556193871,2016/9/8 15:37:51,29,681,0
3556193872,2016/9/8 15:37:52,17,718,0
3556193873,2016/9/8 15:37:53,15,291,0
3556193874,2016/9/8 15:37:54,17,777,0
3556193875,2016/9/8 15:37:55,434,48,0
3556193876,2016/9/8 15:37:56,44,642,0
3556193878,2016/9/8 15:37:58,16,611,0
3556193879,2016/9/8 15:37:59,17,352,0
3556193880,2016/9/8 15:38:0,31,484,0
3556193881,2016/9/8 15:38:1,44,819,0
3556193882,2016/9/8 15:38:2,27,359,0
3556193883,2016/9/8 15:38:3,16,856,0
3556193884,2016/9/8 15:38:4,45,888,0
3556193885,2016/9/8 15:38:5,22,1157,0
3556193886,2016/9/8 15:38:6,34,760,0
3556193887,2016/9/8 15:38:7,49,536,0
3556193888,2016/9/8 15:38:8,47,661,0
3556193889,2016/9/8 15:38:9,26,795,0
3556193890,2016/9/8 15:38:10,25,499,0
3556193891,2016/9/8 15:38:11,25,518,0
3556193892,2016/9/8 15:38:12,36,639,0
3556193894,2016/9/8 15:38:14,48,331,0
3556193895,2016/9/8 15:38:15,20,290,0
3556193896,2016/9/8 15:38:16,17,638,0
3556193897,2016/9/8 15:38:17,16,630,0
3556193915,2016/9/8 15:38:35,17,1061,0
3556193921,2016/9/8 15:38:41,475,17,0
3556193926,2016/9/8 15:38:46,16,246,0
3556193927,2016/9/8 15:38:47,17,211,0
3556193928,2016/9/8 15:38:48,19,662,0
3556193929,2016/9/8 15:38:49,16,314,0
3556193930,2016/9/8 15:38:50,17,268,0
3556193931,2016/9/8 15:38:51,14,2016,0
3556193932,2016/9/8 15:38:52,18,1316,0
3556193933,2016/9/8 15:38:53,15,547,0
3556193934,2016/9/8 15:38:54,16,1260,0
3556193935,2016/9/8 15:38:55,16,1684,0
3556193936,2016/9/8 15:38:56,17,653,0
3556193937,2016/9/8 15:38:57,16,304,0
3556193938,2016/9/8 15:38:58,17,977,0
3556193939,2016/9/8 15:38:59,16,494,0
3556193940,2016/9/8 15:39:0,18,1255,0
3556193941,2016/9/8 15:39:1,15,261,0
3556193942,2016/9/8 15:39:2,17,183,0
3556193943,2016/9/8 15:39:3,352,26,0
3556193947,2016/9/8 15:39:7,17,236,0
3556193948,2016/9/8 15:39:8,20,174,0
3556193952,2016/9/8 15:39:12,303,21,0
3556193953,2016/9/8 15:39:13,492,16,0
3556193978,2016/9/8 15:39:38,23,535,0
3556193979,2016/9/8 15:39:39,16,447,0
3556193980,2016/9/8 15:39:40,25,227,0
3556193981,2016/9/8 15:39:41,18,824,0
3556193982,2016/9/8 15:39:42,19,840,0
3556194002,2016/9/8 15:40:2,20,744,0
3556194003,2016/9/8 15:40:3,14,419,0
3556194004,2016/9/8 15:40:4,19,243,0
3556194005,2016/9/8 15:40:5,761,33,0
3556194007,2016/9/8 15:40:7,650,27,0
3556194008,2016/9/8 15:40:8,899,26,0
3556194009,2016/9/8 15:40:9,21,191,0
3556194010,2016/9/8 15:40:10,22,308,0
3556194011,2016/9/8 15:40:11,17,248,0
3556194012,2016/9/8 15:40:12,16,655,0
3556194013,2016/9/8 15:40:13,201,16,0
3556194014,2016/9/8 15:40:14,17,547,0
3556194015,2016/9/8 15:40:15,257,23,0
3556194016,2016/9/8 15:40:16,463,19,0
3556194017,2016/9/8 15:40:17,15,740,0
3556194018,2016/9/8 15:40:18,15,222,0
3556194019,2016/9/8 15:40:19,17,417,0
3556194020,2016/9/8 15:40:20,174,16,0
3556194023,2016/9/8 15:40:23,23,405,0
3556194024,2016/9/8 15:40:24,31,315,0
3556194026,2016/9/8 15:40:26,43,172,0
3556194027,2016/9/8 15:40:27,16,259,0
3556194046,2016/9/8 15:40:46,538,16,0
3556194047,2016/9/8 15:40:47,197,42,0
3556194048,2016/9/8 15:40:48,1227,22,0
3556194049,2016/9/8 15:40:49,927,18,0
3556194050,2016/9/8 15:40:50,596,19,0
3556194059,2016/9/8 15:40:59,28,703,0
3556194060,2016/9/8 15:41:0,737,22,0
3556194061,2016/9/8 15:41:1,438,36,0
3556194062,2016/9/8 15:41:2,1057,31,0
3556194063,2016/9/8 15:41:3,661,17,0
3556194064,2016/9/8 15:41:4,25,977,0
3556194082,2016/9/8 15:41:22,924,16,0
3556194083,2016/9/8 15:41:23,409,21,0
3556194084,2016/9/8 15:41:24,298,16,0
3556194085,2016/9/8 15:41:25,421,21,0
3556194087,2016/9/8 15:41:27,229,27,0
3556194088,2016/9/8 15:41:28,15,411,0
3556194089,2016/9/8 15:41:29,750,16,0
3556194091,2016/9/8 15:41:31,739,18,0
3556194092,2016/9/8 15:41:32,767,16,0
3556194099,2016/9/8 15:41:39,190,19,0
3556194104,2016/9/8 15:41:44,278,20,0
3556194105,2016/9/8 15:41:45,648,37,0
3556194106,2016/9/8 15:41:46,22,349,0
3556194107,2016/9/8 15:41:47,46,732,0
3556194108,2016/9/8 15:41:48,26,485,0
3556194109,2016/9/8 15:41:49,27,187,0
3556194110,2016/9/8 15:41:50,24,251,0
3556194111,2016/9/8 15:41:51,19,667,0
3556194112,2016/9/8 15:41:52,20,185,0
3556194113,2016/9/8 15:41:53,28,555,0
3556194114,2016/9/8 15:41:54,33,215,0
3556194115,2016/9/8 15:41:55,20,215,0
3556194134,2016/9/8 15:42:14,29,714,0
3556194135,2016/9/8 15:42:15,37,194,0
3556194136,2016/9/8 15:42:16,36,265,0
3556194137,2016/9/8 15:42:17,366,48,0
3556194138,2016/9/8 15:42:18,384,48,0
3556194139,2016/9/8 15:42:19,34,486,0
3556194167,2016/9/8 15:42:47,19,872,0
3556194168,2016/9/8 15:42:48,18,847,0
3556194169,2016/9/8 15:42:49,18,935,0
3556194170,2016/9/8 15:42:50,18,946,0
3556194171,2016/9/8 15:42:51,19,922,0
3556194172,2016/9/8 15:42:52,21,932,0
3556194173,2016/9/8 15:42:53,17,313,0
3556194174,2016/9/8 15:42:54,15,303,0
3556194175,2016/9/8 15:42:55,17,439,0
3556194176,2016/9/8 15:42:56,18,291,0
3556194177,2016/9/8 15:42:57,18,739,0
3556194178,2016/9/8 15:42:58,17,875,0
3556194179,2016/9/8 15:42:59,18,339,0
3556194183,2016/9/8 15:43:3,20,230,0
3556194184,2016/9/8 15:43:4,18,253,0
3556194185,2016/9/8 15:43:5,16,1075,0
3556194186,2016/9/8 15:43:6,19,720,0
3556194187,2016/9/8 15:43:7,18,865,0
3556194188,2016/9/8 15:43:8,22,767,0
3556194189,2016/9/8 15:43:9,14,634,0
3556194207,2016/9/8 15:43:27,21,547,0
3556194208,2016/9/8 15:43:28,15,721,0
3556194209,2016/9/8 15:43:29,16,501,0
3556194210,2016/9/8 15:43:30,16,580,0
3556194211,2016/9/8 15:43:31,19,788,0
3556194212,2016/9/8 15:43:32,16,611,0
3556194213,2016/9/8 15:43:33,25,930,0
3556194214,2016/9/8 15:43:34,16,445,0
3556194215,2016/9/8 15:43:35,42,635,0
3556194216,2016/9/8 15:43:36,30,411,0
